"","report_week","BC.active","AB.active","SK.active","MB.active","ON.active","QC.active","NB.active","NS.active"
"1",2020-01-26,0.000276644817351207,NA,NA,NA,0.000290371240308267,NA,NA,NA
"2",2020-02-02,0.00110657926940483,NA,NA,NA,0.000290371240308267,NA,NA,NA
"3",2020-02-16,0.00304309299086328,NA,NA,NA,0.000580742480616534,NA,NA,NA
"4",2020-02-23,0.00940592378994104,NA,NA,NA,0.0026133411627744,NA,NA,NA
"5",2020-03-01,0.0246213887442574,NA,NA,NA,0.0109373167182781,0.0013320991434769,NA,NA
"6",2020-03-08,0.0705444284245578,0.0299804856052083,0.0048468416223009,0.00827282708250583,0.0313600939532928,0.0101572559690114,0.00728717973755951,0
"7",2020-03-15,0.374853727510886,0.26756777475616,0.13692327583,0.0889328911369377,0.150993044960299,0.110064691729779,0.112951285932172,0.0945580531166044
"8",2020-03-22,1.0080937144278,0.898769826530331,0.727026243345135,0.23680967523673,0.486275037102911,1.53574380003593,0.371646166615535,0.658996893258796
"9",2020-03-29,0.893286115227048,1.69470336372667,1.48071011561293,0.941034080635039,1.39281404934532,5.50090341298787,0.947333365882736,1.67876912763941
"10",2020-04-05,0.896329208217911,2.93357439792899,2.09262387042841,1.53667763057546,3.18827621858477,11.4692071129432,1.26432568446657,3.33717190537677
"11",2020-04-12,1.01224338668807,4.1479452503464,2.26105161680337,1.62250821155646,5.01887330790152,16.4246159266773,1.32626671223583,5.25160879616833
"12",2020-04-19,1.20617140365126,4.60571180474851,0.541634551292126,0.631837168426383,3.62238122284563,18.060267162474,0.204041032651666,4.54896972454803
"13",2020-04-26,1.33951420561455,6.82749144766352,0.729449664156285,0.375379528868702,3.46383852563732,21.9789698177971,0.0491884632285267,3.71831359640063
"14",2020-05-03,1.23051614757817,5.32201975114392,1.51100287575231,0.247150709089862,2.79550072086112,27.5010203046877,0.0163961544095089,2.80619206864507
"15",2020-05-10,0.806142997761418,2.94356789313072,1.56674155440877,0.220264021071718,2.47502766197423,30.6491036055095,0.0200397442782886,1.18706725143306
"16",2020-05-17,0.623004128674919,2.16407526739531,1.00935476784416,0.161320128108864,2.46892986592776,32.8956888109833,0.00546538480316963,0.338954251941059
"17",2020-05-24,0.489384681894286,1.55640628496716,0.59373809873186,0.104444441916636,2.72890891641709,34.5170199809876,0.0546538480316963,0.187661366954492
"18",2020-05-31,0.404178078150114,0.871368307428797,0.304139311799381,0.0682508234306731,2.6224394616374,34.8177413626275,0.173070518767038,0.0552800925912456
"19",2020-06-07,0.359914907373921,0.834940405564404,0.169639456780531,0.0548074794216012,2.36933253050202,33.0633667906684,0.326101293255788,0.0189116106233209
"20",2020-06-14,0.351892207670736,1.07123821146352,0.426522062762479,0.0579097895775408,1.68512109792231,30.8192792710887,0.355250012206026,0.0203663499020379
"21",2020-06-21,0.33003726709999,1.18664696250292,0.836080179846905,0.100308028375383,1.40317062358298,30.1553943604584,0.229546161733125,0.00145473927871699
"22",2020-06-28,0.304309299086328,1.24402896720967,0.713697428883807,0.122024199466961,1.36242185952639,29.3697888905929,0.043723078425357,0.0160021320658869
"23",2020-07-05,0.3322504256388,1.34622051491774,0.442274298034957,0.0610120997334805,1.16980893678857,29.114691904617,0.0127525645407291,0.0378232212466417
"24",2020-07-12,0.392005706186661,1.67568348576207,0.792458605246197,0.0455005489537821,0.982713067616612,21.4116620950689,0.029148718950238,0.0218210891807548
"25",2020-07-19,0.526455087419347,2.70372400828906,1.59582260414257,0.316435635905848,1.05366044066526,2.19729753716515,0.0473666682941368,0.0116379142297359
"26",2020-07-26,0.516772518812055,3.15214180911534,2.50945224994629,0.529460933280373,1.01871910141484,2.87883276144652,0.0327923088190178,0.00581895711486796
"27",2020-08-02,0.65537157230501,2.72919130251283,1.84664665809664,0.799361916847126,0.830655328108516,3.98014572831605,0.043723078425357,0.0232758284594718
"28",2020-08-09,1.01528647967893,2.37619526232248,1.42618314736204,1.49841580531887,0.657981230538533,2.43191349881002,0.105664106194613,0.00727369639358495
"29",2020-08-16,1.48641260362804,2.51965027408934,1.30380039639894,1.75487344487655,0.673467696688307,1.63065586400866,0.140278209948021,0.0480063961976607
"30",2020-08-23,1.78242255819383,2.62861160886956,0.601008361165312,2.9234102702805,0.747415572553479,1.44782525656646,0.102020516325833,0.0552800925912456
"31",2020-08-30,2.22616084522516,3.10668752448809,0.300504180582656,3.25639156035136,0.872855948366651,1.7390554318091,0.0491884632285267,0.0581895711486796
"32",2020-09-06,2.6687925529871,3.39295280639589,0.522247184802922,2.58836077343901,1.07485754120777,2.2037915204896,0.0309705138846279,0.0261853070169058
"33",2020-09-13,3.23674436300912,3.30849165340057,0.912417935398144,2.06510446047052,1.60420431228974,2.7286385830195,0.0273269240158482,0.00727369639358495
"34",2020-09-20,3.05554200764408,3.36039335428701,1.15233659570204,3.09817374239844,2.46989777006212,4.29102436592497,0.0564756429660862,0.00727369639358495
