"","date","BC_new","AB_new","SK_new","MB_new","ON_new","QC_new","NB_new","NS_new"
"1",2020-01-31,0,NA,NA,NA,0,NA,NA,NA
"2",2020-02-08,0.00580954116437535,NA,NA,NA,0,NA,NA,NA
"3",2020-02-16,0.00193651372145845,NA,NA,NA,0,NA,NA,NA
"4",2020-02-21,0.00193651372145845,NA,NA,NA,0,NA,NA,NA
"5",2020-02-24,0,NA,NA,NA,0.000677532894052623,NA,NA,NA
"6",2020-02-25,0.00193651372145845,NA,NA,NA,0,NA,NA,NA
"7",2020-02-26,0,NA,NA,NA,0.000677532894052623,NA,NA,NA
"8",2020-02-27,0,NA,NA,NA,0.000677532894052623,NA,NA,NA
"9",2020-02-29,0,NA,NA,NA,0.00135506578810525,NA,NA,NA
"10",2020-03-01,0.00193651372145845,NA,NA,NA,0.00474273025836836,0,NA,NA
"11",2020-03-03,0.0077460548858338,NA,NA,NA,0.00338766447026312,0,NA,NA
"12",2020-03-05,0.0174286234931261,NA,NA,NA,0.00135506578810525,0.00116558675054229,NA,NA
"13",2020-03-06,0,NA,NA,NA,0.00406519736431574,0,NA,NA
"14",2020-03-07,0.0116190823287507,NA,NA,NA,0,0,NA,NA
"15",2020-03-08,0,0,NA,NA,0.00203259868215787,0.00116558675054229,NA,NA
"16",2020-03-09,0.00968256860729225,0.0135395741442876,NA,NA,0.00203259868215787,0.00116558675054229,NA,NA
"17",2020-03-11,0.0135555960502092,0.0157961698350022,0,0,0.00542026315242098,0.00349676025162687,0,0
"18",2020-03-12,0.0135555960502092,0.011282978453573,0.00848197283902657,0.00723872369719261,0.0115180591988946,0.00699352050325374,0.0127525645407291,0
"19",2020-03-13,0.0135555960502092,0.00902638276285842,0,0.0144774473943852,0.0135506578810525,0.00466234700216916,0,0
"20",2020-03-14,0.021301650936043,0.0135395741442876,0.00848197283902657,0.00723872369719261,0,0,0.0127525645407291,0
"21",2020-03-15,0.0174286234931261,0.0225659569071461,0,0,0.016260789457263,0.00815910725379602,0,0
"22",2020-03-16,0,0.0383621267421483,0.0339278913561063,0.0217161710915778,0.0284563815502102,0.0174838012581343,0.0510102581629166,0.0305495248530568
"23",2020-03-17,0.0580954116437535,0.0406187224328629,0.00848197283902657,0,0.0216810526096839,0.0128214542559652,0.0127525645407291,0.0203663499020379
"24",2020-03-18,0.160730638881051,0.0519017008864359,0.00848197283902657,0.0579097895775408,0.00813039472863148,0.0279740820130149,0.0127525645407291,0.0203663499020379
"25",2020-03-19,0.164603666323968,0.110573188845016,0.101783674068319,0.0144774473943852,0.046749769689631,0.0547825772754876,0.0382576936221874,0.0712822246571325
