date,newcases
2021-02-01,3
2021-02-02,3
2021-02-03,7
2021-02-04,4
2021-02-05,5
2021-02-06,21
2021-02-07,31
2021-02-08,51
2021-02-09,44
2021-02-10,50
2021-02-11,35
2021-02-12,35
2021-02-13,43
2021-02-14,25
2021-02-15,22
2021-02-16,23
2021-02-17,12
2021-02-18,16
2021-02-19,14
2021-02-20,7
2021-02-21,3
2021-02-22,6
2021-02-23,1
2021-02-24,3
2021-02-25,4
2021-02-26,2
2021-02-27,2
