"","date","NL_travel","NS_travel","NB_travel","PEI_travel","BC_active","AB_active","SK_active","MB_active","ON_active","QC_active","NB_active","NS_active"
"100",2020-10-08,0,0,2,0,2.75565902563537,4.73659435480996,1.2129221159808,6.24701855067722,3.71423532519648,9.89816268560512,0.306061548977499,0.0305495248530568
"101",2020-10-09,1,0,0,0,2.78470673145725,5.02092541184,1.17899422462469,6.7537292094807,3.85651723294753,9.9914096256485,0.471844888006978,0.0305495248530568
"102",2020-10-10,0,2,1,0,2.78470673145725,5.02092541184,1.36559762708328,7.36178200004488,3.9256255881409,9.95993878338386,0.726896178821561,0.0509158747550946
"103",2020-10-11,0,0,0,2,2.78470673145725,5.02092541184,1.51827313818576,7.69476329011574,3.8870062131799,9.72215908627324,0.905432082391769,0.0407326998040757
"104",2020-10-12,1,0,0,0,2.78470673145725,5.02092541184,1.82362416039071,8.18699650152484,3.88565114739179,9.50419436392183,0.969194905095415,0.0407326998040757
"105",2020-10-13,0,0,0,0,2.92413571940226,5.90099773121869,2.01870953568832,9.03392717409637,4.05638943669305,9.42610005163549,1.04571029233979,0.0407326998040757
"106",2020-10-14,0,0,0,0,2.96286599383143,6.06798581233157,2.15442110111275,9.94600635994264,4.01438239726179,9.9471173291279,1.14773080866562,0.0407326998040757
"107",2020-10-15,0,0,0,0,2.95705645266705,6.17855900117659,2.2986146393762,11.0535310856131,4.01370486436774,9.89699709885458,1.13497824412489,0.0305495248530568
"108",2020-10-16,3,1,0,0,3.00353278198206,6.39970537886662,2.53610987886895,11.4516608889587,4.00692953542721,9.89350033860295,1.17323593774708,0.0407326998040757
"109",2020-10-17,0,2,2,0,3.00353278198206,6.39970537886662,2.76512314552266,11.9294166529734,4.08416828534921,10.0974780199479,1.27525645407291,0.0509158747550946
"110",2020-10-18,0,2,0,0,3.00353278198206,6.39970537886662,2.90083471094709,12.1248621927976,4.06248723273953,10.2501698842689,1.32626671223583,0.0610990497061136
"111",2020-10-19,0,0,0,0,3.25527956577166,7.08119727746243,3.37582518993258,12.6170954042067,4.12549779188642,10.3224362628025,1.3135141476951,0.0610990497061136
"112",2020-10-20,0,0,0,1,3.34823222440166,7.22787599735888,3.62180240226435,12.6388115752983,4.25490657465047,10.1324456224641,1.21149363136927,0.0509158747550946
"113",2020-10-21,0,0,0,0,3.50121680839688,7.60924066908965,3.97804526150346,12.8414958388197,4.29691361408174,10.4285046571019,1.17323593774708,0.0509158747550946
"114",2020-10-22,1,0,0,0,3.79750340778002,7.9409602356247,4.31732417506453,13.0731349971298,4.35856910744052,10.7164045844858,1.03295772779906,0.0407326998040757
"115",2020-10-23,0,0,0,0,3.97178964271128,8.23883086679902,4.33428812074258,13.4278324582923,4.416159403435,10.8725932090585,0.956442340554686,0.0407326998040757
"116",2020-10-24,1,3,0,0,3.97178964271128,8.23883086679902,4.86865240960125,13.9128269460042,4.65261838345936,10.8213073920346,0.918184646932498,0.0610990497061136
"117",2020-10-25,1,0,0,0,3.97178964271128,8.23883086679902,5.25034118735745,14.8610997503364,4.85587825167515,10.6569596602081,0.828916695147394,0.0610990497061136
